volume,extent,solidity,elongation,flatness,bbox_aspect_ratio,surface_area,surface_volume_ratio,sphericity,type
7972.0,0.2402000662870228,0.6842331130375076,4.859436425323644,4.662762120845638,1.6956521739130435,3373,0.4231058705469142,0.11831192451039886,control
27620.0,0.2260229132569558,0.7845699352346325,8.842376748396989,8.716359414548068,3.6153846153846154,8137,0.294605358435916,0.11229268514912426,control
22983.0,0.2736071428571429,0.8433818942424132,8.083619322448941,7.9650622123984105,2.34375,6746,0.29352129835095503,0.11982795321595797,control
6999.0,0.48070054945054946,0.8579308654081883,3.5003988745568857,2.925940413915085,2.857142857142857,2790,0.39862837548221175,0.1311454192264868,control
7875.0,0.2741228070175439,0.7668711656441718,2.568229162929195,1.9919314808103046,1.4074074074074074,3137,0.39834920634920634,0.12617864411629123,control
16899.0,0.2769056826374779,0.6541379577301231,8.247433424816975,7.699010206484482,3.8421052631578947,5849,0.3461151547428842,0.11258807211158468,control
12792.0,0.45625423547455146,0.9211492763015771,3.8747922029145343,3.726645828913575,2.3043478260869565,3986,0.31160100062539087,0.13722134530541574,control
13244.0,0.3246078431372549,0.7986492190797805,3.3813789888150376,3.266156317895641,2.04,4249,0.32082452431289643,0.13174254543015682,control
10774.0,0.3148083216456288,0.8100751879699248,2.8789746184082055,2.2561381730184604,2.0869565217391304,3952,0.3668089845925376,0.12343387928304267,control
69412.0,0.13372712438133,0.6134186432889109,6.508756997467799,5.7603902809522545,1.6984126984126984,19862,0.28614648763902495,0.08503545918015339,control
6618.0,0.36513103448275863,0.8897553105673568,2.7949335153014223,2.2901348891725237,1.16,2636,0.39830764581444544,0.13372289472997875,control
7873.0,0.4874922600619195,0.9118600880240908,5.475993402104506,5.319576915327194,2.9411764705882355,2909,0.36949066429569416,0.13604516541953973,control
26161.0,0.20584949011708423,0.8605592105263158,2.736662851369473,2.0122817621353652,1.1063829787234043,7940,0.30350521769045524,0.1109896268896747,control
7573.0,0.40301208025118407,0.8973812063040645,2.3417274282337366,1.9737578215195244,2.263157894736842,2698,0.35626568070777764,0.14293437682696905,control
7286.0,0.5917803768680961,0.9323096609085093,3.086284578980674,3.033006474159747,2.111111111111111,2559,0.35122152072467744,0.14686641437460712,control
12940.0,0.5391666666666667,0.8369445702089128,3.9662738408039835,3.753325119168722,2.4,4170,0.3222565687789799,0.1321762610574275,control
10162.0,0.4802457466918715,0.9228952865316502,2.5774761840158384,2.244870151452009,1.7391304347826086,3319,0.3266089352489667,0.14135533623637986,control
16599.0,0.23280504908835906,0.6488546634352279,4.604020835615399,4.3616585455599095,1.6129032258064515,5867,0.3534550274112898,0.11091029533343845,control
13672.0,0.3748012500685345,0.8066076696165192,4.631557754618306,4.321227953138189,2.652173913043478,4602,0.3366003510825044,0.1242438075269091,control
5071.0,0.3223366386981948,0.8871588523442967,3.4141126053049002,2.919421391073911,2.111111111111111,2218,0.4373890751331098,0.13307634528987844,control
7640.0,0.0995413800291849,0.72595971113645,11.80055379022787,11.282514525817225,1.2307692307692308,3637,0.47604712041884817,0.10665607678987991,control
6714.0,0.33462918660287083,0.8338301043219076,2.5390918267099947,1.9647894169328801,1.7272727272727273,2693,0.4011021745606196,0.13215528568461649,control
6101.0,0.4392684858521132,0.8422142462727775,2.676244190571976,2.6033374105251696,2.5294117647058822,2333,0.3823963284707425,0.14311526021050167,control
12096.0,0.2545454545454545,0.8597625986210818,4.019711703708426,3.670309992864746,1.2121212121212122,4170,0.3447420634920635,0.12636451372741192,control
10675.0,0.4126082251082251,0.9200999827615929,4.689851643738121,4.453267903755821,2.6666666666666665,3625,0.3395784543325527,0.13374285142944106,control
5474.0,0.40102564102564103,0.8590709353421218,12.861446592345192,12.329136698856288,4.642857142857143,2758,0.5038363171355499,0.11261829125254638,control
50940.0,0.416441850198656,0.9386574287346368,8.546682233543427,8.299494544390956,3.8275862068965516,11434,0.22446014919513152,0.12018246458954879,control
6384.0,0.38974358974358975,0.8875295426108717,2.5640049967589262,2.323924846083744,1.95,2498,0.39129072681704263,0.13776412923929507,control
78562.0,0.12951972091980402,0.40485859168865435,1.7963671285442038,1.6830445209910772,1.0481927710843373,22008,0.2801354344339503,0.08334785802832845,control
20279.0,0.31150537634408604,0.7867701260911736,11.379036317619304,11.14018200211299,3.36,6514,0.32121899501947826,0.11416069461173294,control
7417.0,0.3961649396432005,0.9168108776266997,2.185364757930304,1.960109299558695,1.6818181818181819,2717,0.36632061480382905,0.1399788907261803,control
5449.0,0.35773371848739494,0.8025036818851252,3.547308952858901,3.109871639912564,2.4285714285714284,2342,0.42980363369425584,0.13221812107562436,control
6573.0,0.38847517730496456,0.8722133757961783,4.359622039047603,4.277516748353595,2.611111111111111,2586,0.3934276586033775,0.13568980998910973,control
9473.0,0.28346998623496317,0.8257496513249651,3.4445450765284056,3.118021544197876,2.227272727272727,3493,0.3687321862134488,0.12817198370465333,control
8764.0,0.3432017543859649,0.9222350836577923,2.5799826108909922,2.0496426105908,1.5833333333333333,3229,0.36843906891830214,0.13164373660514836,control
55236.0,0.2649132399067653,0.7260824986197649,5.236110344248774,4.926069461813581,2.4473684210526314,13306,0.2408936201028315,0.10900187323792025,control
37934.0,0.1553144448083852,0.6248702785510731,3.952242718147262,3.156732228830467,1.8604651162790697,11372,0.2997838350819845,0.09927706033072847,control
12957.0,0.5323554788610871,0.9205683836589698,6.901727650895045,6.866827034126146,3.210526315789474,4145,0.3199042988346068,0.13308990169978233,control
8850.0,0.16817421708726057,0.7182858534209886,3.3319572253887517,2.599301620560634,1.7692307692307692,3860,0.43615819209039547,0.11084298405947766,control
7029.0,0.37839147286821706,0.8457466008903862,4.60018348562194,4.317913293927728,2.388888888888889,2737,0.38938682600654434,0.1340666933979922,control
8656.0,0.48870822041553746,0.9223228556206713,2.837121594558934,2.6078098433118924,2.2777777777777777,2962,0.3421903881700554,0.1423289059319078,control
10591.0,0.3344385499557913,0.8581267217630854,2.063706638774674,1.6611536701182836,1.3928571428571428,3642,0.34387687659333394,0.13241932524594197,control
9605.0,0.40837585034013607,0.8755697356426618,4.812377612487058,4.737127086656629,2.45,3411,0.35512753774076,0.13246969205208592,control
12228.0,0.5391534391534392,0.9255923094391038,6.467366206874653,6.425252722457047,3.3333333333333335,3965,0.3242558063460909,0.13386296136147252,control
7412.0,0.4816114359974009,0.9174402772620374,4.261084469247749,4.255004018792478,2.5,2700,0.36427415002698327,0.1407969270551277,control
12744.0,0.35010989010989013,0.7241320529575545,4.606267112532105,4.222648668576953,1.9230769230769231,4422,0.3469868173258004,0.12338198991046442,control
6683.0,0.4105036855036855,0.9011596548004315,2.710394330085321,2.3301638571340972,1.85,2523,0.37752506359419424,0.14062538471158828,control
12537.0,0.2580904150197628,0.7503591094086665,6.276655599168064,5.66151347274006,2.869565217391304,4757,0.3794368668740528,0.11344776188819373,control
20271.0,0.47397586980920314,0.9181954069846446,5.092494810778229,4.90711620103475,2.75,5637,0.27808198904839426,0.13188702774413572,control
81154.0,0.024219883618973606,0.3420726515541093,67.5711952382476,67.14486012820235,3.3793103448275863,27372,0.33728466865465656,0.0684804736904881,control
11750.0,0.20605359147025815,0.6118198385837021,2.6868788885951935,1.9666417510450036,1.6875,4582,0.38995744680851063,0.11279854375609183,control
19044.0,0.2611271081859317,0.831434184675835,3.313279468618521,2.5592636333059056,2.1153846153846154,6378,0.33490863264020165,0.1118117900323267,control
16265.0,0.26146154835390945,0.7304203341117298,13.563779499229105,13.218419963945758,4.0,6048,0.37184137719028587,0.10614289514893685,control
6262.0,0.44975939093586154,0.8493150684931506,10.900451805834308,10.513155626961808,4.846153846153846,2781,0.44410731395720215,0.12216338368691064,control
12479.0,0.5044466003718975,0.908025904096631,6.618279049094108,6.539724304116504,3.263157894736842,4069,0.32606779389374146,0.13222051161485393,control
5732.0,0.45233585858585856,0.8484310242747187,3.5417891534244372,3.274557305283736,2.25,2268,0.3956734124214934,0.14121941375157132,control
13957.0,0.223312,0.8543707149853085,4.321708597708953,3.686192186170049,2.0,5218,0.3738625779178907,0.11109401027669825,control
10373.0,0.5055068226120858,0.8909981102903282,7.7834943793982205,7.673442149579662,3.3333333333333335,3662,0.35303190976573795,0.12988268120124483,control
145844.0,0.08844401266708632,0.3165189083609137,6.186526333174896,5.966417998710193,2.1481481481481484,37256,0.2554510298675297,0.07436972114778347,control
30380.0,0.23412092908555662,0.8683473389355743,7.852826568708473,7.22299283768519,3.2962962962962963,8980,0.2955892034233048,0.10842152453544145,control
18684.0,0.257888198757764,0.7696490360850222,4.2241656908726615,3.65919727557099,2.76,5867,0.3140119888674802,0.12001360577393047,control
7878.0,0.34735449735449736,0.7725044126299274,3.883971209683412,3.6059942711348363,1.9047619047619047,3048,0.3869002284843869,0.12989597327321067,control
13903.0,0.5444470551378446,0.9251397391535799,3.0372840272199237,2.604187488531758,2.526315789473684,4116,0.29605121196863987,0.14047433421698555,control
13011.0,0.5600464876033058,0.9190506463233736,8.0240677274769,7.762452836808762,4.125,4243,0.32610867727307663,0.13037693071088205,control
10309.0,0.3914711019974178,0.8781838316722038,7.142203484934353,6.806248082106737,2.7142857142857144,3753,0.3640508293723931,0.12621155823708877,control
15321.0,0.2035310058982943,0.7339049626365204,6.461218394042095,5.921304831215044,2.5185185185185186,5572,0.36368383264799947,0.11070833025723681,control
