area,extent,solidity,elongation,bbox_aspect_ratio,eccentricity,type
545.0,0.3776853776853777,0.7633053221288515,3.0246218271464818,1.054054054054054,0.9437640160660281,control
509.0,0.37207602339181284,0.7563150074294205,3.2177215371394805,1.0555555555555556,0.9504822289517311,control
419.0,0.7590579710144928,0.9654377880184332,1.2171890603838393,1.0434782608695652,0.5701147751212339,control
401.0,0.7924901185770751,0.9662650602409638,1.1404166644876281,1.0454545454545454,0.48072303526034155,control
472.0,0.7552,0.9711934156378601,1.393211839066373,1.0,0.6962844683195983,control
523.0,0.7736686390532544,0.9578754578754579,1.2003580738996478,1.0,0.5531453764736443,control
512.0,0.8192,0.9642184557438794,1.1104214132637094,1.0,0.43473380760632574,control
441.0,0.765625,0.9692307692307692,1.2828212806691166,1.0,0.6263626353084782,control
502.0,0.4218487394957983,0.9418386491557224,3.3513548969424782,1.0294117647058822,0.954445037112545,control
409.0,0.7290552584670231,0.9253393665158371,2.3681312688575824,1.9411764705882353,0.9064682911550724,control
818.0,0.38046511627906976,0.9511627906976744,3.783137742365158,1.1627906976744187,0.9644320628480156,control
484.0,0.7278195488721805,0.9307692307692308,2.302852418441594,1.8421052631578947,0.9007952543346781,control
882.0,0.3834782608695652,0.9363057324840764,3.8361343290563408,1.0869565217391304,0.9654255087029824,control
461.0,0.6932330827067669,0.9238476953907816,2.34033708878788,1.8421052631578947,0.9041151574630699,control
1288.0,0.2650205761316872,0.8298969072164949,5.654166963885303,1.35,0.9842358905455709,control
1629.0,0.22540473225404734,0.7640712945590994,6.727702542622347,1.356164383561644,0.9888915018999802,control
1670.0,0.2261646803900325,0.7468694096601073,6.622392838658306,1.4647887323943662,0.9885333317944469,control
1707.0,0.23447802197802198,0.714524905818334,6.1912047672521835,1.4857142857142858,0.9868695287066105,control
634.0,0.34456521739130436,0.8637602179836512,3.7694224815063113,1.15,0.9641679423152832,control
1642.0,0.2367358708189158,0.7102076124567474,5.944997077038851,1.5,0.9857514119950039,control
796.0,0.3618181818181818,0.908675799086758,3.827674468085239,1.1363636363636365,0.9652697556556644,control
466.0,0.706060606060606,0.9588477366255144,1.4426843345539178,1.3636363636363635,0.7207911313656776,control
852.0,0.28940217391304346,0.891213389121339,4.774043793914346,1.391304347826087,0.9778159245609319,control
865.0,0.36871270247229326,0.9301075268817204,3.7869669851069605,1.108695652173913,0.9645052794078016,control
573.0,0.4775,0.9534109816971714,2.9132624262822615,1.3333333333333333,0.9392412335607028,control
830.0,0.3764172335600907,0.9263392857142857,3.6456431483233005,1.0888888888888888,0.961644163553837,control
695.0,0.40360046457607435,0.9303882195448461,3.3055397435539744,1.024390243902439,0.9531422579621941,control
488.0,0.5258620689655172,0.9625246548323472,2.556496769235085,1.103448275862069,0.9203225700397587,control
491.0,0.4871031746031746,0.8644366197183099,2.588801721989423,1.2857142857142858,0.922381947285902,control
514.0,0.45446507515473034,0.7547723935389133,2.745180890011055,1.3448275862068966,0.931291537803468,control
462.0,0.5900383141762452,0.8523985239852399,1.486388613385115,1.0740740740740742,0.7398502656327038,control
408.0,0.5862068965517241,0.951048951048951,2.175528951216855,1.2083333333333333,0.8880958403225706,control
487.0,0.6012345679012345,0.9624505928853755,2.1350012451876834,1.1111111111111112,0.8835251067409118,control
483.0,0.575,0.9507874015748031,2.0827474469875287,1.0714285714285714,0.8771945945048514,control
458.0,0.7339743589743589,0.9703389830508474,1.311287442193959,1.0833333333333333,0.6468593770528674,control
518.0,0.796923076923077,0.9810606060606061,1.2607405524780675,1.04,0.6089812630723331,control
575.0,0.7898351648351648,0.968013468013468,1.2383256577133346,1.0769230769230769,0.58981004561572,control
599.0,0.8228021978021978,0.9787581699346405,1.2321866054191424,1.0769230769230769,0.584261603803741,control
801.0,0.3652530779753762,0.8240740740740741,3.1886058278329594,1.186046511627907,0.9495496684341944,control
617.0,0.7879948914431673,0.9716535433070866,1.2675875706564663,1.0740740740740742,0.6145214267919242,control
1904.0,0.32118758434547906,0.5743589743589743,1.7100874010642397,1.0263157894736843,0.8112024334661296,control
627.0,0.8007662835249042,0.9751166407465007,1.2880240054728909,1.0740740740740742,0.6302613479468518,control
2136.0,0.3302411873840445,0.5964814297682212,1.6750829651222576,1.0909090909090908,0.8022521330037387,control
649.0,0.7726190476190476,0.9672131147540983,1.3165249198907754,1.0714285714285714,0.650419207528475,control
1863.0,0.34615384615384615,0.6003867225265872,1.2886542695621055,1.1304347826086956,0.6307288142512552,control
661.0,0.7897252090800478,0.9706314243759178,1.307459317826028,1.1481481481481481,0.6442177275838683,control
1097.0,0.38410364145658266,0.6624396135265701,2.352283408326615,1.0980392156862746,0.9051375418530909,control
668.0,0.7695852534562212,0.969521044992743,1.314420402328059,1.1071428571428572,0.6489962576783636,control
784.0,0.2850909090909091,0.7633885102239533,3.8396308856494095,1.1,0.9654895754249,control
648.0,0.8,0.9744360902255639,1.3128552540658622,1.1111111111111112,0.6479315189353918,control
659.0,0.48455882352941176,0.9127423822714681,2.657859743522123,1.1764705882352942,0.9265211940522347,control
621.0,0.7961538461538461,0.9764150943396226,1.3303008776818908,1.1538461538461537,0.6594942078480994,control
605.0,0.4700854700854701,0.9194528875379939,2.5614819361689527,1.1818181818181819,0.9206457606772159,control
571.0,0.7572944297082228,0.964527027027027,1.359683009939351,1.1153846153846154,0.6775621289118161,control
498.0,0.5020161290322581,0.9467680608365019,2.3565341899610246,1.032258064516129,0.9054973102465252,control
515.0,0.762962962962963,0.9680451127819549,1.3968919438535277,1.08,0.6982284763513041,control
790.0,0.30478395061728397,0.7552581261950286,4.65839201071215,1.125,0.9766874418572622,control
446.0,0.745819397993311,0.9695652173913043,1.4418088138852905,1.1304347826086956,0.7203861262299103,control
839.0,0.4076773566569485,0.9011815252416756,3.641277379140779,1.1666666666666667,0.961550293780867,control
766.0,0.4705159705159705,0.9284848484848485,3.0392064985251337,1.1891891891891893,0.9443183354051217,control
692.0,0.49927849927849927,0.9376693766937669,2.864914615962886,1.2727272727272727,0.9371038997913482,control
572.0,0.557504873294347,0.9300813008130081,2.705096753768199,1.4074074074074074,0.9291621009629607,control
424.0,0.5421994884910486,0.9098712446351931,2.6658553581808815,1.4782608695652173,0.9269786368857341,control
553.0,0.4850877192982456,0.8763866877971473,2.3653023911868454,1.2666666666666666,0.9062328516329118,control
488.0,0.5350877192982456,0.9494163424124513,2.816084306066857,1.5833333333333333,0.9348271795862116,control
