ablation,setting_index,setting,trial,iou,false_positive_rate
threshold,0,0,0,0.01804181251164356,8.783560625602832e-05
threshold,0,0,1,0.0465698773289843,0.0066286267343901965
threshold,0,0,2,0.029369076965871727,0.00023628614531580105
threshold,0,0,3,0.06480578929219784,0.0005764278003247646
threshold,0,0,4,0.1298963962805029,0.001749141627418894
threshold,1,0.01,0,0.11303357286083196,0.007839188804060157
threshold,1,0.01,1,0.1862475443888106,0.0041574218208544084
threshold,1,0.01,2,0.02091591531711932,1.863539787584997e-05
threshold,1,0.01,3,0.06998710384835309,0.0019011842253993706
threshold,1,0.01,4,0.12042563695823548,0.00770932271168587
threshold,2,0.05,0,0.06963834815125909,0.008726618424437869
threshold,2,0.05,1,0.11977764064700436,0.0048966047069338055
threshold,2,0.05,2,0.11268241852944759,0.007793719112592289
threshold,2,0.05,3,0.16150924251047866,0.005922315857961023
threshold,2,0.05,4,0.22665107163151602,0.005804847888575453
threshold,3,0.1,0,0.07271599264014476,0.008649040991175245
threshold,3,0.1,1,0.0763076534222454,0.008447023767312163
threshold,3,0.1,2,0.05589887817582171,0.00896433544901641
threshold,3,0.1,3,0.22385162040288348,0.005780641827219741
threshold,3,0.1,4,0.34782427887489326,0.004040972875276131
threshold,4,0.2,0,0.0602821023611327,0.008870920687415457
threshold,4,0.2,1,0.14574517958167701,0.007092358993493542
threshold,4,0.2,2,0.06660049221378211,0.0087806351780894
threshold,4,0.2,3,0.2487678828532984,0.005407938115635272
threshold,4,0.2,4,0.20632289699001022,0.006157323977585179
kernel,0,[3],0,0.16085858313273785,0.005738683521954498
kernel,0,[3],1,0.11985383462206067,0.007596491300623479
kernel,0,[3],2,0.11468817491914755,0.001437137767288777
kernel,0,[3],3,0.06494684626636675,0.008897886604915918
kernel,0,[3],4,0.2220365347285601,0.005888522480951707
kernel,1,[5],0,0.1040804469706504,0.007995821255105978
kernel,1,[5],1,0.2916750701348909,0.004765914903648624
kernel,1,[5],2,0.16705104268371185,0.006740778796247727
kernel,1,[5],3,0.029984360919319518,0.00014018370842311747
kernel,1,[5],4,0.23166716730556092,0.0031464483016401504
kernel,2,[7],0,0.04754918248418135,0.00030672616599485117
kernel,2,[7],1,0.20148527588152818,0.0021948541488632945
kernel,2,[7],2,0.023719158191501916,9.555895752879457e-05
kernel,2,[7],3,0.11435999890527901,0.003912656548275433
kernel,2,[7],4,0.17729173173255178,0.0065861334416261255
kernel,3,"[3, 5, 7]",0,0.10488731868262638,0.007975402565567367
kernel,3,"[3, 5, 7]",1,0.11822687079634965,0.000257583742888201
kernel,3,"[3, 5, 7]",2,0.03621925939419241,0.0002430753914318831
kernel,3,"[3, 5, 7]",3,0.19497553562865225,0.002849814717270019
kernel,3,"[3, 5, 7]",4,0.10418460559503022,0.007797315417445523
iou_threshold,0,0.5,0,0.09037238258918262,0.008338073138582541
iou_threshold,0,0.5,1,0.16745999736034597,0.006789033819455527
iou_threshold,0,0.5,2,0.08088164114040736,0.008352556014443678
iou_threshold,0,0.5,3,0.19489476299443945,0.006245915359831615
iou_threshold,0,0.5,4,0.20506305078452136,0.006196310130079153
iou_threshold,1,0.6,0,0.21107491870534278,0.006033206877857029
iou_threshold,1,0.6,1,0.1578461097998388,0.006121887424686604
iou_threshold,1,0.6,2,0.06902156931091222,0.0086551975933443
iou_threshold,1,0.6,3,0.12673117717485421,0.007612124824200348
iou_threshold,1,0.6,4,0.23252018480838887,0.005643069367302809
iou_threshold,2,0.7,0,0.010807096881730278,0.0002599147598473811
iou_threshold,2,0.7,1,0.14590150554960024,0.007089042920187313
iou_threshold,2,0.7,2,0.17436374042243233,0.006702896586211652
iou_threshold,2,0.7,3,0.07467836999558725,0.004603949561344643
iou_threshold,2,0.7,4,0.1369429468317122,0.0073245775354452355
iou_threshold,3,0.8,0,0.08613677902502087,0.00840548580936743
iou_threshold,3,0.8,1,0.16723104873366545,0.0066960351592425535
iou_threshold,3,0.8,2,0.06335784902249603,0.008793585272307065
iou_threshold,3,0.8,3,0.1825722438580735,0.006580027790647435
iou_threshold,3,0.8,4,0.22568629392668574,0.0057946873720302475
iou_threshold,4,1.0,0,0.11437256026019207,0.0006769629907791677
iou_threshold,4,1.0,1,0.13786760666321002,0.0069384906445250005
iou_threshold,4,1.0,2,0.013305315329965955,6.580346235587214e-05
iou_threshold,4,1.0,3,0.042141911320064604,0.00028265172854758085
iou_threshold,4,1.0,4,0.19910294441551696,0.0003172603246027308
low_weight,0,50,0,0.11706386467767044,0.007753433704744017
low_weight,0,50,1,0.1642935368876463,0.006743381552888852
low_weight,0,50,2,0.04214532259987328,0.0012436166544189911
low_weight,0,50,3,0.22584571467491762,0.005770349686766093
low_weight,0,50,4,0.2377415373259433,0.005582883273684633
low_weight,1,100,0,0.0701618918122115,0.008495113199151279
low_weight,1,100,1,0.04128702396840067,0.009277226709045376
low_weight,1,100,2,0.12342444320388382,0.007504346072849112
low_weight,1,100,3,0.17165925100860652,0.006739887150416346
low_weight,1,100,4,0.15540501875171972,0.007069201677472834
low_weight,2,200,0,0.10354847076943319,0.008186119705185204
low_weight,2,200,1,0.1285907098266058,0.00753238621127976
low_weight,2,200,2,0.061706896771757974,0.009027748451357676
low_weight,2,200,3,0.1836199583398499,0.006567086188294828
low_weight,2,200,4,0.3171208184524111,0.004499886000957492
