feature,test,alternative,group_1,group_2,n_1,n_2,U_statistic,H_statistic,p_value,rank_biserial_r,value_scale,mean_1_raw,sd_1_raw,median_1_raw,q1_1_raw,q3_1_raw,iqr_1_raw,mean_2_raw,sd_2_raw,median_2_raw,q1_2_raw,q3_2_raw,iqr_2_raw,mean_1_test_scale,sd_1_test_scale,median_1_test_scale,q1_1_test_scale,q3_1_test_scale,iqr_1_test_scale,mean_2_test_scale,sd_2_test_scale,median_2_test_scale,q1_2_test_scale,q3_2_test_scale,iqr_2_test_scale,median_diff_test_scale,q_value,significance
volume,Mann-Whitney U,two-sided,control,exp,176,69,11299.0,,1.125605021833589e-25,0.8608366271409749,log10(x+1e-6),23297.960227272728,32377.61455139043,13192.0,7987.75,23111.75,15124.0,3983.4347826086955,3876.822787519595,2565.0,1505.0,4282.0,2777.0,4.18429607595271,0.35333279128202144,4.120310631439493,3.9024241822888905,4.363812762679878,0.4613885803909872,3.4603575203738397,0.3292714300172333,3.4090873696171506,3.17753650021843,3.631646663059843,0.4541101628414128,0.711223261822342,6.231139202636133e-25,***
elongation,Mann-Whitney U,two-sided,control,exp,176,69,5662.0,,0.4118046137381304,-0.06752305665349145,log10(x+1e-6),7.268194030374596,9.005219955887453,4.291396533478351,2.7920686304415914,8.255626792996633,5.463558162555042,8.338812478273791,8.938436116351648,4.888592435567144,2.9221092545922134,9.923548107893316,7.001438853301103,0.6993027841293387,0.33614522111434975,0.6325879130064337,0.44592555799942596,0.9167494636450748,0.47082390564564885,0.7478512359773125,0.3712202317110294,0.6891839202599956,0.4656965983394319,0.9966670231936324,0.5309704248542005,-0.05659600725356195,0.4118046137381304,ns
bbox_aspect_ratio,Mann-Whitney U,two-sided,control,exp,176,69,3996.5,,3.199635514133456e-05,-0.34181488801054016,log10(x+1e-6),2.590276489680207,1.1955250195934413,2.2704678362573096,1.7446417636252294,3.078525641025641,1.3338838774004116,3.28820319618711,1.3320271526719896,3.2,2.3076923076923075,4.15,1.8423076923076929,0.37395757443076333,0.18122206535396757,0.35611329440326733,0.24170579009118354,0.48834273984300997,0.24663694975182643,0.4821799273861854,0.17697129798944164,0.5051501140369103,0.36317809060706036,0.6180482013613529,0.2548701107542925,-0.14903681963364301,3.839562616960147e-05,***
sphericity,Mann-Whitney U,two-sided,control,exp,176,69,2699.0,,1.3877286566554463e-11,-0.5555006587615283,raw,0.11949710845334917,0.02068982399561185,0.123499616316069,0.10886216994440112,0.13372788390484427,0.024865713960443153,0.1392407912943709,0.015523503232764255,0.1414197906442128,0.1302725787180926,0.1499380421313506,0.019665463413257978,0.11949710845334917,0.02068982399561185,0.123499616316069,0.10886216994440112,0.13372788390484427,0.024865713960443153,0.1392407912943709,0.015523503232764255,0.1414197906442128,0.1302725787180926,0.1499380421313506,0.019665463413257978,-0.017920174328143815,2.7754573133108926e-11,***
extent,Mann-Whitney U,two-sided,control,exp,176,69,3296.0,,2.6567556264911216e-08,-0.4571805006587615,raw,0.3277637793660364,0.141554751862281,0.34099245244003307,0.2313628365900249,0.44580511475839224,0.21444227816836733,0.43804084542576144,0.09239153098593943,0.446031746031746,0.37875,0.511522633744856,0.13277263374485598,0.3277637793660364,0.141554751862281,0.34099245244003307,0.2313628365900249,0.44580511475839224,0.21444227816836733,0.43804084542576144,0.09239153098593943,0.446031746031746,0.37875,0.511522633744856,0.13277263374485598,-0.10503929359171293,3.9851334397366824e-08,***
surface_volume_ratio,Mann-Whitney U,two-sided,control,exp,176,69,874.0,,2.077046400878711e-25,-0.8560606060606061,raw,0.347393826861054,0.05565065234553032,0.34493358567182986,0.3041102720829372,0.382951092506903,0.07884082042396579,0.5181680677868811,0.10321080986565422,0.5332661290322581,0.4488059291792479,0.5873821609862219,0.13857623180697398,0.347393826861054,0.05565065234553032,0.34493358567182986,0.3041102720829372,0.382951092506903,0.07884082042396579,0.5181680677868811,0.10321080986565422,0.5332661290322581,0.4488059291792479,0.5873821609862219,0.13857623180697398,-0.18833254336042826,6.231139202636133e-25,***
