feature,test,alternative,group_1,group_2,n_1,n_2,U_statistic,H_statistic,p_value,rank_biserial_r,value_scale,mean_1_raw,sd_1_raw,median_1_raw,q1_1_raw,q3_1_raw,iqr_1_raw,mean_2_raw,sd_2_raw,median_2_raw,q1_2_raw,q3_2_raw,iqr_2_raw,mean_1_test_scale,sd_1_test_scale,median_1_test_scale,q1_1_test_scale,q3_1_test_scale,iqr_1_test_scale,mean_2_test_scale,sd_2_test_scale,median_2_test_scale,q1_2_test_scale,q3_2_test_scale,iqr_2_test_scale,median_diff_test_scale,q_value,significance
area,Mann-Whitney U,two-sided,control,exp,625,212,132214.5,,2.811631848697837e-104,0.9956905660377358,log10(x+1e-6),668.8896,293.73908431000814,572.0,466.0,765.0,299.0,173.49528301886792,64.81643768179785,156.5,124.75,198.25,73.5,2.7939740427397477,0.15556358121452923,2.75739602955228,2.6683859176219626,2.883661435721323,0.2152755180993604,2.2143352294019927,0.14230371720363957,2.1945121281569206,2.0960379345279616,2.297212163989226,0.20117422946126418,0.5628839013953595,1.686979109218702e-103,***
elongation,Mann-Whitney U,two-sided,control,exp,625,212,121515.0,,9.252357068352339e-74,0.8341886792452831,log10(x+1e-6),2.5834817857173076,1.1031664300579784,2.3710362308810566,1.802583601851744,3.140922302377667,1.338338700525923,1.288568236255317,0.19626733793132453,1.252153102734511,1.1489852879745088,1.365358931726094,0.21637364375158508,0.37561979225561154,0.1777531241655326,0.3749383734801922,0.25589565688946225,0.49705733157174947,0.24116167468228722,0.10544898756568022,0.06269231842762825,0.09765756182260499,0.06031483404678639,0.13524410046666782,0.07492926641988143,0.2772808116575872,1.387853560252851e-73,***
bbox_aspect_ratio,Mann-Whitney U,two-sided,control,exp,625,212,84250.5,,3.2485576069358084e-09,0.27170566037735844,log10(x+1e-6),1.3265468855926659,0.2636169011535048,1.25,1.119047619047619,1.5,0.38095238095238093,1.1997181861809616,0.16646499154842864,1.1538461538461535,1.0769230769230769,1.2727272727272727,0.19580419580419584,0.11485192180652808,0.08125460684198163,0.09691036044350294,0.04884895563058485,0.17609154858523932,0.12724259295465445,0.07518017356290997,0.05745417464747517,0.062148283137232196,0.03218508664466145,0.10473569175125753,0.07255060510659608,0.03476207730627075,3.2485576069358084e-09,***
eccentricity,Mann-Whitney U,two-sided,control,exp,625,212,121515.0,,9.252357068352339e-74,0.8341886792452831,raw,0.8594788233289858,0.13372362902456336,0.9067091232103176,0.8320108951345109,0.9479639037450882,0.11595300861057733,0.581442436923927,0.14998946498718707,0.6018272436253149,0.49246312871679754,0.6808429703686059,0.18837984165180832,0.8594788233289858,0.13372362902456336,0.9067091232103176,0.8320108951345109,0.9479639037450882,0.11595300861057733,0.581442436923927,0.14998946498718707,0.6018272436253149,0.49246312871679754,0.6808429703686059,0.18837984165180832,0.3048818795850027,1.387853560252851e-73,***
extent,Mann-Whitney U,two-sided,control,exp,625,212,10362.5,,2.17530508968815e-75,-0.8435849056603774,raw,0.554445722539433,0.14508609025696093,0.5470085470085471,0.4472208057113717,0.6707692307692308,0.2235484250578591,0.7755651207479978,0.04305696827678088,0.7766194331983806,0.7476977806358001,0.8031655844155844,0.05546780377978433,0.554445722539433,0.14508609025696093,0.5470085470085471,0.4472208057113717,0.6707692307692308,0.2235484250578591,0.7755651207479978,0.04305696827678088,0.7766194331983806,0.7476977806358001,0.8031655844155844,0.05546780377978433,-0.2296108861898335,6.52591526906445e-75,***
solidity,Mann-Whitney U,two-sided,control,exp,625,212,33014.5,,8.669073220070923e-28,-0.5016679245283019,raw,0.9029229125312206,0.08477649399098987,0.9380403458213256,0.8865836791147994,0.9595959595959596,0.07301228048116015,0.9583748320891313,0.012262013343122508,0.9596774193548387,0.950676943153087,0.9654643301903575,0.01478738703727045,0.9029229125312206,0.08477649399098987,0.9380403458213256,0.8865836791147994,0.9595959595959596,0.07301228048116015,0.9583748320891313,0.012262013343122508,0.9596774193548387,0.950676943153087,0.9654643301903575,0.01478738703727045,-0.021637073533513185,1.0402887864085107e-27,***
